model,iter,tracc,trfa,trdr,teacc,tefa,tedr,tteacc,ttefa,ttedr
NcwtHrf,5,1,0,1,0.847303487,0.005102426,0.565028242,0.642467139,0.024946104,0.00647821
NcwtHrf,6,1,0,1,0.84305141,0.00774762,0.559796193,0.592855789,0.126780229,0.000884434
NcwtHrf,7,1,0,1,0.844327967,0.00771345,0.561078512,0.681900781,0.016927987,0.110555409
NcwtHrf,8,1,0,1,0.846099876,0.005738683,0.561893292,0.632034211,0.085529221,0.083237986
NcwtHrf,9,1,0,1,0.842957452,0.006283605,0.557354044,0.650538083,0.061542174,0.005675676
NcwtHdnn,0,0.892565056,0.065920398,0.812852801,0.893367625,0.065318564,0.814193331,0.502559209,0.286998276,0.000587372
NcwtHdnn,1,0.912574762,0.056787634,0.853304442,0.912541835,0.055863216,0.851479446,0.458379681,0.338065899,0.00090307
NcwtHdnn,2,0.855878726,0.075996496,0.722234157,0.851340707,0.0788624,0.714523651,0.648625264,0.343720744,0.629059829
NcwtHdnn,3,0.861476469,0.005023951,0.612755768,0.861296164,0.006783347,0.615662738,0.462335368,0.355070028,0.000283527
NcwtHdnn,4,0.937392088,0.048228571,0.90986655,0.931333682,0.053679643,0.902635787,0.283233182,0.615151209,0.015961692
NcwtHdnn,5,0.938058984,0.022416499,0.861515086,0.933364456,0.02515778,0.853118616,0.508089956,0.225625875,0.003828033
NcwtHdnn,6,0.886281859,0.008131012,0.686197917,0.883473627,0.009688792,0.680998846,0.674881517,0.005727857,0.000884434
NcwtHdnn,7,0.832959306,0.013748438,0.537552004,0.827960464,0.014158602,0.523786431,0.681635999,0.131633932,0.328770729
NcwtHdnn,8,0.949358642,0.027221597,0.90406787,0.946828703,0.028683311,0.89953029,0.467429845,0.532705882,0.467677346
NcwtHdnn,9,0.856416392,0.188857305,0.943412716,0.849690862,0.196692173,0.938714282,0.249762305,0.667803068,0.027567568
YcwtHsvm,0,0.995479545,0.002700756,0.986143187,0.947287184,0.030894195,0.835980452,0.79169957,0.101642299,0.036853296
YcwtHsvm,1,0.995751658,0.002213369,0.984919887,0.94778195,0.030846035,0.834331233,0.688993415,0.162947706,0.004759387
YcwtHsvm,2,0.995731296,0.002149767,0.984924623,0.94547023,0.029993122,0.823820114,0.84923701,0.13653484,0.67839196
YcwtHsvm,3,0.996272063,0.00219078,0.98857926,0.945808408,0.031288554,0.831448192,0.885112879,0.019073084,0.008964955
YcwtHsvm,4,0.996897465,0.001799532,0.99000476,0.94559351,0.032285429,0.829690441,0.780069309,0.123220821,0.303258145
YcwtHsvm,5,0.996195166,0.002046628,0.987072946,0.946938034,0.030628715,0.829822218,0.746457642,0.121665271,0.054020101
YcwtHsvm,6,0.996699422,0.002129925,0.990305381,0.945187732,0.033480323,0.828348575,0.668973362,0.116011025,0.00038956
YcwtHsvm,7,0.995560238,0.001973979,0.982742537,0.94595045,0.031111419,0.823839385,0.770919561,0.053799224,0.018103859
YcwtHsvm,8,0.996119403,0.001768347,0.984688995,0.946283279,0.030229794,0.822247587,0.745065948,0.137381315,0.204741379
YcwtHsvm,9,0.995994861,0.002964427,0.990480723,0.943888396,0.034059062,0.828886462,0.78824225,0.068161255,0.033298097
YcwtHrf,0,1,0,1,0.917347441,0.002095578,0.506062767,0.866893282,0.009316134,0.009922041
YcwtHrf,1,1,0,1,0.918119775,0.003188525,0.501428646,0.792890263,0.048886614,0.139079852
YcwtHrf,2,0.99992511,0,0.999550157,0.915378046,0.003675079,0.513043909,0.921562952,0.006374752,0.055276382
YcwtHrf,3,1,0,1,0.915044904,0.00307319,0.505511174,0.901471889,0.000535427,0.006519967
YcwtHrf,4,1,0,1,0.918204368,0.002484534,0.502354295,0.825478142,0.005145621,0.000501253
YcwtHrf,5,1,0,1,0.918512521,0.003051722,0.508969417,0.827789645,0.014807622,0.013190955
YcwtHrf,6,0.999924987,0,0.999518768,0.917407192,0.0030245,0.481184388,0.724386314,0.042710421,0
YcwtHrf,7,1,0,1,0.916316074,0.003166624,0.48764554,0.806489837,0.00270514,0
YcwtHrf,8,1,0,1,0.916991114,0.002054559,0.489194805,0.799840032,0.018904984,0.004310345
YcwtHrf,9,1,0,1,0.916308187,0.002772763,0.494304291,0.835105004,0.004855874,0.016384778
YcwtHdnn,0,0.87826742,0.046321281,0.489568846,0.872912964,0.047846699,0.468909017,0.861759425,0.013259328,0
YcwtHdnn,1,0.882984274,0.033542237,0.430076628,0.878706066,0.033991637,0.416454446,0.748195504,0.070833867,0.001057641
YcwtHdnn,2,0.880419319,0.050738255,0.527522936,0.878763749,0.050202365,0.526773365,0.841591809,0.11352935,0.302763819
YcwtHdnn,3,0.846622033,0.005579438,0.115784713,0.848600037,0.005785726,0.120867455,0.9,0.001428189,0
YcwtHdnn,4,0.882513042,0.037546034,0.457497612,0.876892814,0.040843582,0.445455021,0.76900187,0.083546637,0.047117794
YcwtHdnn,5,0.877209996,0.035637919,0.42870243,0.876933756,0.038410413,0.434822852,0.816451186,0.025634795,0
YcwtHdnn,6,0.883147079,0.03139173,0.42289272,0.878438671,0.03692752,0.414381901,0.751350839,0.007015786,0
